CVE,DESCRIP
1,Renglón del informante uno
2,Renglón del informante dos
3,Renglón del informante tres
4,Renglón del informante cuatro
5,Renglón del informante cinco
6,Renglón del informante seis
7,Renglón del informante siete
8,Renglón del informante ocho
9,Renglón del informante nueve
10,Renglón del informante diez
11,Renglón del informante once
12,Renglón del informante doce
13,Renglón del informante trece
14,Renglón del informante catorce
15,Renglón del informante quince
20,Renglón del informante veinte
97,El informante fue más de una persona
99,No especificado el informante
