CVE,DESCRIP
0,Sin número de horas a la semana
1,Una hora a la semana
2,Dos horas a la semana
3,Tres horas a la semana
4,Cuatro horas a la semana
5,Cinco horas a la semana
6,Séis horas a la semana
7,Siete horas a la semana
8,Ocho horas a la semana
9,Nueve horas a la semana
10,Diez horas a la semana
11,Once horas a la semana
12,Doce horas a la semana
13,Trece horas a la semana
14,Catorce horas a la semana
15,Quince horas a la semana
16,Diciséis horas a la semana
17,Diecisiete horas a la semana
18,Dieciocho horas a la semana
19,Diecinueve horas a la semana
20,Veinte horas a la semana
21,Veintiuno horas a la semana
22,Veintidos horas a la semana
23,Veintitrés horas a la semana
24,Veintcuatro horas a la semana
25,Veinticinco horas a la semana
26,Veintiséis horas a la semana
27,Veintisiete horas a la semana
28,Veintiocho horas a la semana
29,Veintinueve horas a la semana
30,Treinta horas a la semana
31,Treinta y uno horas a la semana
32,Treinta y dos horas a la semana
33,Treinta y trés horas a la semana
34,Treinta y cuatro horas a la semana
35,Treinta y cinco horas a la semana
36,Treinta y séis horas a la semana
37,Treinta y siete horas a la semana
38,Treinta y ocho horas a la semana
39,Treinta y nueve horas a la semana
40,Cuarenta horas a la semana
41,Cuarenta y uno horas a la semana
42,Cuarenta y dos horas a la semana
43,Cuarenta y trés horas a la semana
44,Cuarenta y cuatro horas a la semana
45,Cuarenta y cinco horas a la semana
46,Caurenta y séis horas a la semana
47,Cuareta y siete horas a la semana
48,Cuarenta y ocho horas a la semana
49,Caurenta y nueve horas a la semana
50,Cincuenta horas a la semana
51,Cincuenta y uno horas a la semana
52,Cincuenta y dos horas a la semana
53,Cincuenta y trés horas a la semana
54,Cincuenta y cuatro horas a la semana
55,Cincuenta y cinco horas a la semana
56,Cincuenta y séis horas a la semana
57,Cincuenta y siete horas a la semana
58,Cincuenta y ocho horas a la semana
59,Cincuenta y nueve horas a la semana
60,Sesenta horas a la semana
61,Sesenta y uno horas a la semana
62,Sesenta y dos horas a la semana
63,Sesenta y trés horas a la semana
64,Sesenta y cuatro horas a la semana
65,Sesenta y cinco horas a la semana
66,Sesenta y séis horas a la semana
67,Sesenta y siete horas a la semana
68,Sesenta y ocho horas a la semana
69,Sesenta y nueve horas a la semana
70,Setenta horas a la semana
71,Setenta y uno horas a la semana
72,Setenta y dos horas a la semana
73,Setenta y trés horas a la semana
74,Setenta y cuatro horas a la semana
75,Setenta y cinco horas a la semana
76,Setenta y séis horas a la semana
77,Setenta y siete horas a la semana
78,Setenta y ocho horas a la semana
79,Setenta y nueve horas a la semana
80,Ochenta horas a la semana
81,Ochenta y uno horas a la semana
82,Ochenta y dos horas a la semana
83,Ochenta y trés horas a la semana
84,Ochenta y cuatro horas a la semana
85,Ochenta y cinco horas a la semana
86,Ochenta y séis horas a la semana
87,Ochenta y siete horas a la semana
88,Ochenta y ocho horas a la semana
89,Ochenta y nueve horas a la semana
90,Noventa horas a la semana
91,Noventa y uno horas a la semana
92,Noventa y dos horas a la semana
93,Noventa y trés horas a la semana
94,Noventa y cuatro horas a la semana
95,Noventa y cinco horas a la semana
96,Noventa y séis horas a la semana
97,Noventa y siete horas a la semana
98,Trabajó esa semana pero no sabe cuánto tiempo
99,No sabe si trabajó esa semana
