CVE,DESCRIP
0,Sin número de minutos a la semana
1,Un minuto a la semana
2,Dos minutos a la semana
3,Tres minutos a la semana
4,Cuatro minutos a la semana
5,Cinco minutos a la semana
6,Séis minutos a la semana
7,Siete minutos a la semana
8,Ocho minutos a la semana
9,Nueve minutos a la semana
10,Diez minutos a la semana
11,Once minutos a la semana
12,Doce minutos a la semana
13,Trece minutos a la semana
14,Catorce minutos a la semana
15,Quince minutos a la semana
16,Dieciséis minutos a la semana
17,Diecisiete minutos a la semana
18,Dieciocho minutos a la semana
19,Diecinueve minutos a la semana
20,Veinte minutos a la semana
21,Veintiuno minutos a la semana
22,Veintidos minutos a la semana
23,Veintitres minutos a la semana
24,Veinticuatro minutos a la semana
25,Veinticinco minutos a la semana
26,Veintiséis minutos a la semana
27,Veintisiete minutos a la semana
28,Veintiocho minutos a la semana
29,Veintinueve minutos a la semana
30,Treinta minutos de a la semana
31,Treinta y uno minutos a la semana
32,Treinta y dos minutos a la semana
33,Treinta y tres minutos a la semana
34,Treinta y cuatro minutos a la semana
35,Treinta y cinco minutos a la semana
36,Treinta y séis minutos a la semana
37,Treinta y siete minutos a la semana
38,Treinta y ocho minutos a la semana
39,Treinta y nueve minutos a la semana
40,Cuarenta minutos da la semana
41,Cuarenta y uno minutos a la semana
42,Cuarenta y dos minutos a la semana
43,Cuarenta y tres minutos a la semana
44,Cuarenta y cuatro minutos a la semana
45,Cuarenta y cinco minutos a la semana
46,Cuarenta y séis minutos a la semana
47,Cuarenta y siete minutos a la semana
48,Cuarenta y ocho minutos a la semana
49,Cuarenta y nueve minutos a la semana
50,Cincuenta minutos a la semana
51,Cincuenta y uno minutos a la semana
52,Cincuenta y dos minutos a la semana
53,Cincuenta y tres minutos a la semana
54,Cincuenta y cuatro minutos a la semana
55,Cincuenta y cinco minutos a la semana
56,Cincuenta y seis minutos a la semana
57,Cincuenta y siete minutos a la semana
58,Cincuenta y ocho minutos a la semana
59,Cincuenta y nueve minutos a la semana
