CVE,DESCRIP
0,Sin número de horas en martes
1,Una hora en martes
2,Dos horas en martes
3,Tres horas en martes
4,Cuatro horas en martes
5,Cinco horas en martes
6,Seis horas en martes
7,Siete horas en martes
8,Ocho horas en martes
9,Nueve horas en martes
10,Diez horas en martes
11,Once horas en martes
12,Doce horas en martes
13,Trece horas en martes
14,Catorce horas en martes
15,Quince horas en martes
16,Dieciséis horas en martes
17,Diecisiete horas en martes
18,Dieciocho horas en martes
19,Diecinueve horas en martes
20,Veinte horas en martes
21,Veintiún horas en martes
22,Veintidos horas en martes
23,Veintitrés horas en martes
24,Veinticuatro horas en martes
98,Trabajó ese día pero no sabe cuánto tiempo
99,No sabe si trabajó ese día
