CVE,DESCRIP
0,Sin número de horas en miércoles
1,Una hora en miércoles
2,Dos horas en miércoles
3,Tres horas en miércoles
4,Cuatro horas en miércoles
5,Cinco horas en miércoles
6,Seis horas en miércoles
7,Siete horas en miércoles
8,Ocho horas en miércoles
9,Nueve horas en miércoles
10,Diez horas en miércoles
11,Once horas en miércoles
12,Doce horas en miércoles
13,Trece horas en miércoles
14,Catorce horas en miércoles
15,Quince horas en miércoles
16,Dieciséis horas en miércoles
17,Diecisiete horas en miércoles
18,Dieciocho horas en miércoles
19,Diecinueve horas en miércoles
20,Veinte horas en miércoles
21,Veintiún horas en miércoles
22,Veintidos horas en miércoles
23,Veintitrés horas en miércoles
24,Veinticuatro horas en miércoles
98,Trabajó ese día pero no sabe cuánto tiempo
99,No sabe si trabajó ese día
