CVE,DESCRIP
0,Sin número de minutos en lunes
1,Un minuto en lunes
2,Dos minutos en lunes
3,Tres minutos en lunes
4,Cuatro minutos en lunes
5,Cinco minutos en lunes
6,Séis minutos en lunes
7,Siete minutos en lunes
8,Ocho minutos en lunes
9,Nueve minutos en lunes
10,Diez minutos en lunes
11,Once minutos en lunes
12,Doce minutos en lunes
13,Trece minutos en lunes
14,Catorce minutos en lunes
15,Quince minutos en lunes
16,Dieciséis minutos en lunes
17,Diecisiete minutos en lunes
18,Dieciocho minutos en lunes
19,Diecinueve minutos en lunes
20,Veinte minutos en lunes
21,Veintiuno minutos en lunes
22,Veintidos minutos en lunes
23,Veintitres minutos en lunes
24,Veinticuatro minutos en lunes
25,Veinticinco minutos en lunes
26,Veintiséis minutos en lunes
27,Veintisiete minutos en lunes
28,Veintiocho minutos en lunes
29,Veintinueve minutos en lunes
30,Treinta minutos en lunes
31,Treinta y uno minutos en lunes
32,Treinta y dos minutos en lunes
33,Treinta y tres minutos en lunes
34,Treinta y cuatro minutos en lunes
35,Treinta y cinco minutos en lunes
36,Treinta y séis minutos en lunes
37,Treinta y siete minutos en lunes
38,Treinta y ocho minutos en lunes
39,Treinta y nueve minutos en lunes
40,Cuarenta minutos en lunes
41,Cuarenta y uno minutos en lunes
42,Cuarenta y dos minutos en lunes
43,Cuarenta y tres minutos en lunes
44,Cuarenta y cuatro minutos en lunes
45,Cuarenta y cinco minutos en lunes
46,Cuarenta y séis minutos en lunes
47,Cuarenta y siete minutos en lunes
48,Cuarenta y ocho minutos en lunes
49,Cuarenta y nueve minutos en lunes
50,Cincuenta minutos en lunes
51,Cincuenta y uno minutos en lunes
52,Cincuenta y dos minutos en lunes
53,Cincuenta y tres minutos en lunes
54,Cincuenta y cuatro minutos en lunes
55,Cincuenta y cinco minutos en lunes
56,Cincuenta y seis minutos en lunes
57,Cincuenta y siete minutos en lunes
58,Cincuenta y ocho minutos en lunes
59,Cincuenta y nueve minutos en lunes
