CVE,DESCRIP,
0,Sin número de minutos en martes,
1,Un minuto en martes,
2,Dos minutos en martes,
3,Tres minutos en martes,
4,Cuatro minutos en martes,
5,Cinco minutos en martes,
6,Séis minutos en martes,
7,Siete minutos en martes,
8,Ocho minutos en martes,
9,Nueve minutos en martes,
10,Diez minutos en martes,
11,Once minutos en martes,
12,Doce minutos en martes,
13,Trece minutos en martes,
14,Catorce minutos en martes,
15,Quince minutos en martes,
16,Dieciséis minutos en martes,
17,Diecisiete minutos en martes,
18,Dieciocho minutos en martes,
19,Diecinueve minutos en martes,
20,Veinte minutos en martes,
21,Veintiuno minutos en martes,
22,"Veintidos minutos en martes""
23""",Veintitres minutos en martes
24,Veinticuatro minutos en martes,
25,Veinticinco minutos en martes,
26,Veintiséis minutos en martes,
27,Veintisiete minutos en martes,
28,Veintiocho minutos en martes,
29,Veintinueve minutos en martes,
30,Treinta minutos en martes,
31,Treinta y uno minutos en martes,
32,Treinta y dos minutos en martes,
33,Treinta y tres minutos en martes,
34,Treinta y cuatro minutos en martes,
35,Treinta y cinco minutos en martes,
36,Treinta y séis minutos en martes,
37,Treinta y siete minutos en martes,
38,Treinta y ocho minutos en martes,
39,Treinta y nueve minutos en martes,
40,Cuarenta minutos en martes,
41,Cuarenta y uno minutos en martes,
42,Cuarenta y dos minutos en martes,
43,Cuarenta y tres minutos en martes,
44,Cuarenta y cuatro minutos en martes,
45,Cuarenta y cinco minutos en martes,
46,Cuarenta y séis minutos en martes,
47,Cuarenta y siete minutos en martes,
48,Cuarenta y ocho minutos en martes,
49,Cuarenta y nueve minutos en martes,
50,Cincuenta minutos en martes,
51,Cincuenta y uno minutos en martes,
52,Cincuenta y dos minutos en martes,
53,Cincuenta y tres minutos en martes,
54,Cincuenta y cuatro minutos en martes,
55,Cincuenta y cinco minutos en martes,
56,Cincuenta y seis minutos en martes,
57,Cincuenta y siete minutos en martes,
58,Cincuenta y ocho minutos en martes,
59,Cincuenta y nueve minutos en martes,
