CVE,DESCRIP
3,03 años cumplidos cuando dejó de asistir a la escuela
4,04 años cumplidos cuando dejó de asistir a la escuela
5,05 años cumplidos cuando dejó de asistir a la escuela
6,06 años cumplidos cuando dejó de asistir a la escuela
7,07 años cumplidos cuando dejó de asistir a la escuela
8,08 años cumplidos cuando dejó de asistir a la escuela
9,09 años cumplidos cuando dejó de asistir a la escuela
10,10 años cumplidos cuando dejó de asistir a la escuela
11,11 años cumplidos cuando dejó de asistir a la escuela
99,No sabe
