CVE,DESCRIP
0,Sin horas de prestar servicios gratuitos a su comunidad
1,Una hora de prestar servicios gratuitos a su comunidad
2,Dos horas de prestar servicios gratuitos a su comunidad
3,Tres horas de prestar servicios gratuitos a su comunidad
4,Cuatro horas de prestar servicios gratuitos a su comunidad
5,Cinco horas de prestar servicios gratuitos a su comunidad
6,Séis horas de prestar servicios gratuitos a su comunidad
7,Siete horas de prestar servicios gratuitos a su comunidad
8,Ocho horas de prestar servicios gratuitos a su comunidad
9,Nueve horas de prestar servicios gratuitos a su comunidad
10,Diez horas de prestar servicios gratuitos a su comunidad
11,Once horas de prestar servicios gratuitos a su comunidad
12,Doce horas de prestar servicios gratuitos a su comunidad
13,Trece horas de prestar servicios gratuitos a su comunidad
14,Catorce horas de prestar servicios gratuitos a su comunidad
15,Quince horas de prestar servicios gratuitos a su comunidad
16,Diciséis horas de prestar servicios gratuitos a su comunidad
17,Diecisiete horas de prestar servicios gratuitos a su comunidad
18,Dieciocho horas de prestar servicios gratuitos a su comunidad
19,Diecinueve horas de prestar servicios gratuitos a su comunidad
20,Veinte horas de prestar servicios gratuitos a su comunidad
21,Veintiuno horas de prestar servicios gratuitos a su comunidad
22,Veintidos horas de prestar servicios gratuitos a su comunidad
23,Veintitrés horas de prestar servicios gratuitos a su comunidad
24,Veintcuatro horas de prestar servicios gratuitos a su comunidad
25,Veinticinco horas de prestar servicios gratuitos a su comunidad
26,Veintiséis horas de prestar servicios gratuitos a su comunidad
27,Veintisiete horas de prestar servicios gratuitos a su comunidad
28,Veintiocho horas de prestar servicios gratuitos a su comunidad
29,Veintinueve horas de prestar servicios gratuitos a su comunidad
30,Treinta horas de prestar servicios gratuitos a su comunidad
31,Treinta y uno horas de prestar servicios gratuitos a su comunidad
32,Treinta y dos horas de prestar servicios gratuitos a su comunidad
33,Treinta y trés horas de prestar servicios gratuitos a su comunidad
34,Treinta y cuatro horas de prestar servicios gratuitos a su comunidad
35,Treinta y cinco horas de prestar servicios gratuitos a su comunidad
36,Treinta y séis horas de prestar servicios gratuitos a su comunidad
