CVE,DESCRIP
0,Sin número de minutos de ayudar al cuidado o atención sin pago
1,Un minuto de ayudar al cuidado o atención sin pago
2,Dos minutos de ayudar al cuidado o atención sin pago
3,Tres minutos de ayudar al cuidado o atención sin pago
4,Cuatro minutos de ayudar al cuidado o atención sin pago
5,Cinco minutos de ayudar al cuidado o atención sin pago
6,Séis minutos de ayudar al cuidado o atención sin pago
7,Siete minutos de ayudar al cuidado o atención sin pago
8,Ocho minutos de ayudar al cuidado o atención sin pago
9,Nueve minutos de ayudar al cuidado o atención sin pago
10,Diez minutos de ayudar al cuidado o atención sin pago
11,Once minutos de ayudar al cuidado o atención sin pago
12,Doce minutos de ayudar al cuidado o atención sin pago
13,Trece minutos de ayudar al cuidado o atención sin pago
14,Catorce minutos de ayudar al cuidado o atención sin pago
15,Quince minutos de ayudar al cuidado o atención sin pago
16,Dieciséis minutos de ayudar al cuidado o atención sin pago
17,Diecisiete minutos de ayudar al cuidado o atención sin pago
18,Dieciocho minutos de ayudar al cuidado o atención sin pago
19,Diecinueve minutos de ayudar al cuidado o atención sin pago
20,Veinte minutos de ayudar al cuidado o atención sin pago
21,Veintiuno minutos de ayudar al cuidado o atención sin pago
22,Veintidos minutos de ayudar al cuidado o atención sin pago
23,Veintitres minutos de ayudar al cuidado o atención sin pago
24,Veinticuatro minutos de ayudar al cuidado o atención sin pago
25,Veinticinco minutos de ayudar al cuidado o atención sin pago
26,Veintiséis minutos de ayudar al cuidado o atención sin pago
27,Veintisiete minutos de ayudar al cuidado o atención sin pago
28,Veintiocho minutos de ayudar al cuidado o atención sin pago
29,Veintinueve minutos de ayudar al cuidado o atención sin pago
30,Treinta minutos de ayudar al cuidado o atención sin pago
31,Treinta y uno minutos de ayudar al cuidado o atención sin pago
32,Treinta y dos minutos de ayudar al cuidado o atención sin pago
33,Treinta y tres minutos de ayudar al cuidado o atención sin pago
34,Treinta y cuatro minutos de ayudar al cuidado o atención sin pago
35,Treinta y cinco minutos de ayudar al cuidado o atención sin pago
36,Treinta y séis minutos de ayudar al cuidado o atención sin pago
37,Treinta y siete minutos de ayudar al cuidado o atención sin pago
38,Treinta y ocho minutos de ayudar al cuidado o atención sin pago
39,Treinta y nueve minutos de ayudar al cuidado o atención sin pago
40,Cuarenta minutos de ayudar al cuidado o atención sin pago
41,Cuarenta y uno minutos de ayudar al cuidado o atención sin pago
42,Cuarenta y dos minutos de ayudar al cuidado o atención sin pago
43,Cuarenta y tres minutos de ayudar al cuidado o atención sin pago
44,Cuarenta y cuatro minutos de ayudar al cuidado o atención sin pago
45,Cuarenta y cinco minutos de ayudar al cuidado o atención sin pago
46,Cuarenta y séis minutos de ayudar al cuidado o atención sin pago
47,Cuarenta y siete minutos de ayudar al cuidado o atención sin pago
48,Cuarenta y ocho minutos de ayudar al cuidado o atención sin pago
49,Cuarenta y nueve minutos de ayudar al cuidado o atención sin pago
50,Cincuenta minutos de ayudar al cuidado o atención sin pago
51,Cincuenta y uno minutos de ayudar al cuidado o atención sin pago
52,Cincuenta y dos minutos de ayudar al cuidado o atención sin pago
53,Cincuenta y tres minutos de ayudar al cuidado o atención sin pago
54,Cincuenta y cuatro minutos de ayudar al cuidado o atención sin pago
55,Cincuenta y cinco minutos de ayudar al cuidado o atención sin pago
56,Cincuenta y seis minutos de ayudar al cuidado o atención sin pago
57,Cincuenta y siete minutos de ayudar al cuidado o atención sin pago
58,Cincuenta y ocho minutos de ayudar al cuidado o atención sin pago
59,Cincuenta y nueve minutos de ayudar al cuidado o atención sin pago
