CVE,DESCRIP
1,Vivienda uno
2,Vivienda dos
3,Vivienda tres
4,Vivienda cuatro
5,Vivienda cinco
6,Vivienda seis
7,Vivienda siete
8,Vivienda ocho
9,Vivienda nueve
10,Vivienda diez
11,Vivienda once
12,Vivienda doce
13,Vivienda trece 
14,Vivienda catorce 
15,Vivienda quince 
16,Vivienda dieciséis 
17,Vivienda diecisiete 
18,Vivienda dieciocho 
19,Vivienda diecinueve 
20,Vivienda veinte 
21,Vivienda veintiuno 
22,Vivienda veintidós 
23,Vivienda veintitrés 
24,Vivienda veinticuatro 
25,Vivienda veinticinco 
26,Vivienda veintiséis 
27,Vivienda veintisiete 
28,Vivienda veintiocho 
29,Vivienda veintinueve 
30,Vivienda treinta
31,Vivienda treinta y uno
32,Vivienda treinta y dos
33,Vivienda treinta y tres
34,Vivienda treinta y cuatro
35,Vivienda treinta y cinco
36,Vivienda treinta y seis
37,Vivienda treinta y siete
38,Vivienda treinta y ocho
39,Vivienda treinta y nueve
40,Vivienda cuarenta
41,Vivienda cuarenta y uno
42,Vivienda cuarenta y dos
43,Vivienda cuarenta y tres
44,Vivienda cuarenta y cuatro
45,Vivienda cuarenta y cinco
46,Vivienda cuarenta y seis
47,Vivienda cuarenta y siete
48,Vivienda cuarenta y ocho
49,Vivienda cuarenta y nueve
50,Vivienda cincuenta
51,Vivienda cincuenta y uno
52,Vivienda cincuenta y dos
53,Vivienda cincuenta y tres
54,Vivienda cincuenta y cuatro
55,Vivienda cincuenta y cinco
56,Vivienda cincuenta y seis
57,Vivienda cincuenta y siete
58,Vivienda cincuenta y ocho
59,Vivienda cincuenta y nueve
60,Vivienda sesenta
61,Vivienda sesenta y uno
62,Vivienda sesenta y dos
63,Vivienda sesenta y tres
64,Vivienda sesenta y cuatro
65,Vivienda sesenta y cinco
66,Vivienda sesenta y seis
67,Vivienda sesenta y siete
68,Vivienda sesenta y ocho
69,Vivienda sesenta y nueve
70,Vivienda setenta
71,Vivienda setenta y uno
72,Vivienda setenta y dos
73,Vivienda setenta y tres
74,Vivienda setenta y cuatro
75,Vivienda setenta y cinco
76,Vivienda setenta y seis
77,Vivienda setenta y siete
78,Vivienda setenta y ocho
79,Vivienda setenta y nueve
80,Vivienda ochenta
81,Vivienda ochenta y uno
82,Vivienda ochenta y dos
83,Vivienda ochenta y tres
84,Vivienda ochenta y cuatro
85,Vivienda ochenta y cinco
86,Vivienda ochenta y seis
87,Vivienda ochenta y siete
88,Vivienda ochenta y ocho
89,Vivienda ochenta y nueve
90,Vivienda noventa
91,Vivienda noventa y uno
92,Vivienda noventa y dos
93,Vivienda noventa y tres
94,Vivienda noventa y cuatro
95,Vivienda noventa y cinco
96,Vivienda noventa y seis
97,Vivienda noventa y siete
98,Vivienda noventa y ocho
99,Vivienda noventa y nueve
